indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-QUA-005,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,9.9,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,9.8,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0731,HT0731,Aquin,Aken,Sud,11.8,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0332,HT0332,Bahon,Baron,Nord,10.5,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,9.7,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0632,HT0632,Belladère,Beladè,Centre,10.0,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0351,HT0351,Borgne,Bòn,Nord,9.6,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,10.1,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,10.6,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,9.7,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,12.1,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,10.8,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0442,HT0442,Carice,karis,Nord-Est,9.8,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,10.1,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,10.0,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,10.0,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,8.9,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0342,HT0342,Dondon,Dondon,Nord,9.7,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0412,HT0412,Ferrier,Ferye,Nord-Est,12.1,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
IND-QUA-005,HTC-0411,HT0411,Fort-Liberté,Fòlibète,Nord-Est,11.2,ans,2026,A,B,"Water Point Data Exchange (WPdx) — dates des relevés, médiane Atmart",v1.2026.08
