indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-EAU-005,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,0.154,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,0.145,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,0.252,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,0.029,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,0.165,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,0.122,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,0.224,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,0.224,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0731,HT0731,Aquin,Aken,Sud,0.214,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,0.173,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-1024,HT1024,Arnaud,Ano,Nippes,0.289,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0723,HT0723,Arniquet,Anikè,Sud,0.05,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0332,HT0332,Bahon,Baron,Nord,0.17,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,0.173,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0221,HT0221,Bainet,Benè,Sud-Est,0.275,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-1031,HT1031,Baradères,Baradè,Nippes,0.286,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,0.273,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,0.297,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,0.187,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0632,HT0632,Belladère,Beladè,Centre,0.259,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,0.209,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,0.074,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0351,HT0351,Borgne,Bòn,Nord,0.199,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,0.349,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,0.281,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,0.389,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
IND-EAU-005,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,0.147,km par km²,2026,A,B,"HydroRIVERS / HydroSHEDS (Lehner et Grill 2013), calcul Atmart",v1.2026.08
