indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ACC-005,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,1.353,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,0.503,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,0.834,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,1.019,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,1.389,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,0.3,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,1.101,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,1.579,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0731,HT0731,Aquin,Aken,Sud,1.886,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,0.937,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-1024,HT1024,Arnaud,Ano,Nippes,1.49,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0723,HT0723,Arniquet,Anikè,Sud,2.741,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0332,HT0332,Bahon,Baron,Nord,0.621,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,0.549,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0221,HT0221,Bainet,Benè,Sud-Est,1.468,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-1031,HT1031,Baradères,Baradè,Nippes,0.853,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,0.892,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,0.893,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,0.673,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0632,HT0632,Belladère,Beladè,Centre,0.783,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,0.806,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,0.784,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,0.944,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0351,HT0351,Borgne,Bòn,Nord,0.186,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,0.476,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,1.765,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,1.236,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,7.873,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,1.157,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,1.317,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0442,HT0442,Carice,karis,Nord-Est,0.77,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0113,HT0113,Carrefour,Kafou,Ouest,3.562,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,1.265,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,1.102,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,0.577,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,0.466,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,0.766,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0914,HT0914,Chamsolme,Chansòlm,Nord-Ouest,1.059,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0713,HT0713,Chantal,Chantal,Sud,0.967,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0751,HT0751,Chardonnières,Chadonyè,Sud,0.902,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,11.432,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0831,HT0831,Corail,Koray,Grande'Anse,1.001,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0134,HT0134,Cornillon / Grand Bois,Kòniyon / Gran Bwa,Ouest,0.425,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,3.506,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0741,HT0741,Côteaux,Okoto,Sud,0.557,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0222,HT0222,Côtes de Fer,Kòtdefè,Sud-Est,2.29,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0822,HT0822,Dame Marie,Dam Mari,Grande'Anse,1.733,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0112,HT0112,Delmas,Dèlma,Ouest,18.441,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0544,HT0544,Desdunes,Dedin,Artibonite,0.982,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,1.506,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0342,HT0342,Dondon,Dondon,Nord,0.419,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
IND-ACC-005,HTC-0512,HT0512,Ennery,Ènri,Artibonite,0.644,km par km²,2026,A,B,OpenStreetMap via HOT (ODbL) et superficie CNIGS via OCHA COD-AB — calcul Atmart,v1.2026.08
