indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-TOU-001,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,5.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,2.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0731,HT0731,Aquin,Aken,Sud,4.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,6.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0723,HT0723,Arniquet,Anikè,Sud,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0221,HT0221,Bainet,Benè,Sud-Est,2.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-1031,HT1031,Baradères,Baradè,Nippes,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,6.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0632,HT0632,Belladère,Beladè,Centre,4.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,2.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,2.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,3.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,48.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0113,HT0113,Carrefour,Kafou,Ouest,13.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,2.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,7.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0713,HT0713,Chantal,Chantal,Sud,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,1.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-001,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,21.0,établissements,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
