indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-NIV-009,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,0.296,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,0.195,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,0.25,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,0.296,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,0.23,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,0.23,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,0.225,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,0.187,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0731,HT0731,Aquin,Aken,Sud,0.226,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,0.23,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
IND-NIV-009,HTC-1024,HT1024,Arnaud,Ano,Nippes,0.187,indice de 0 à 1,2017,A,B,"OPHI et PNUD — Global MPI 2025, Table 5 « Subnational Results » (CC BY 4.0), d'après l'EMMUS/DHS 2016-2017, valeur de la RÉGION",v1.2026.08
