indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-TOU-009,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,3.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,7.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,1.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,2.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,1.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,3.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0731,HT0731,Aquin,Aken,Sud,5.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,10.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0723,HT0723,Arniquet,Anikè,Sud,1.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-009,HTC-0221,HT0221,Bainet,Benè,Sud-Est,5.0,objets,2026,A,B,OpenStreetMap via Overpass — © contributeurs OSM (ODbL),v1.2026.08
