indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-RIS-005,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,3.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,16.1,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,14.9,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,4.2,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,1.6,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,4.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,0.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,21.5,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0731,HT0731,Aquin,Aken,Sud,20.9,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,11.3,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-1024,HT1024,Arnaud,Ano,Nippes,9.5,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0723,HT0723,Arniquet,Anikè,Sud,4.5,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0332,HT0332,Bahon,Baron,Nord,0.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,3.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0221,HT0221,Bainet,Benè,Sud-Est,1.9,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-1031,HT1031,Baradères,Baradè,Nippes,8.4,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,55.7,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,5.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,0.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0632,HT0632,Belladère,Beladè,Centre,0.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,2.5,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,0.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,6.4,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0351,HT0351,Borgne,Bòn,Nord,2.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,4.3,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,10.7,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,15.2,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,34.9,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,3.3,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,95.8,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0442,HT0442,Carice,karis,Nord-Est,13.6,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0113,HT0113,Carrefour,Kafou,Ouest,3.3,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,17.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,6.1,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,0.3,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,5.9,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,5.0,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
IND-RIS-005,HTC-0914,HT0914,Chamsolme,Chansòlm,Nord-Ouest,9.1,%,2026,A,B,"CNIGS via HaitiData — zones inondables, échantillonnage Atmart",v1.2026.08
