indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-NIV-005,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,65.4,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,53.2,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,44.6,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,84.5,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,58.3,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,29.3,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,59.1,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0731,HT0731,Aquin,Aken,Sud,52.1,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,39.8,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-1024,HT1024,Arnaud,Ano,Nippes,59.6,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0723,HT0723,Arniquet,Anikè,Sud,41.1,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0332,HT0332,Bahon,Baron,Nord,51.6,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,25.7,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0221,HT0221,Bainet,Benè,Sud-Est,44.0,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-1031,HT1031,Baradères,Baradè,Nippes,59.1,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,46.5,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,63.2,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,58.3,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0632,HT0632,Belladère,Beladè,Centre,45.8,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,62.4,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,62.2,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,65.0,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0351,HT0351,Borgne,Bòn,Nord,46.4,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,43.2,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,67.3,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,52.4,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,40.8,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,48.7,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,49.5,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0442,HT0442,Carice,karis,Nord-Est,49.7,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0113,HT0113,Carrefour,Kafou,Ouest,26.2,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,64.7,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,51.8,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-005,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,39.9,%,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
