indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ENV-002,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,0.75,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,0.46,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,0.68,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,0.41,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,0.91,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,0.21,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,0.46,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,0.92,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0731,HT0731,Aquin,Aken,Sud,0.89,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,1.11,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-1024,HT1024,Arnaud,Ano,Nippes,0.98,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0723,HT0723,Arniquet,Anikè,Sud,1.5,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0332,HT0332,Bahon,Baron,Nord,0.39,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,0.26,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0221,HT0221,Bainet,Benè,Sud-Est,0.67,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-1031,HT1031,Baradères,Baradè,Nippes,0.29,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,0.73,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,0.78,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,0.29,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0632,HT0632,Belladère,Beladè,Centre,0.67,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,0.4,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,0.44,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,0.88,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0351,HT0351,Borgne,Bòn,Nord,0.18,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,0.22,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,1.88,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,1.15,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,11.11,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,0.62,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,1.04,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
IND-ENV-002,HTC-0442,HT0442,Carice,karis,Nord-Est,0.58,% de la surface communale,2020,A,B,"GHSL R2023A — Commission européenne, JRC",v1.2026.08
