indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-EAU-003,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,21.862,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,27.922,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0731,HT0731,Aquin,Aken,Sud,18.966,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0332,HT0332,Bahon,Baron,Nord,54.902,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,64.912,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0632,HT0632,Belladère,Beladè,Centre,36.816,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0351,HT0351,Borgne,Bòn,Nord,29.825,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,27.419,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,17.91,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,26.699,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,40.506,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,45.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0442,HT0442,Carice,karis,Nord-Est,44.186,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,23.81,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,31.606,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,10.526,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,48.624,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0342,HT0342,Dondon,Dondon,Nord,18.28,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0412,HT0412,Ferrier,Ferye,Nord-Est,26.471,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0411,HT0411,Fort-Liberté,Fòlibète,Nord-Est,48.936,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0331,HT0331,Grande Rivière Du Nord,Grann Rivyè dinò,Nord,50.495,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0611,HT0611,Hinche,Ench,Centre,37.895,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0811,HT0811,Jérémie,Jeremi,Grande'Anse,0.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0345,HT0345,La Victoire,La viktwa,Nord,50.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0631,HT0631,Lascahobas,Laskawobas,Centre,23.762,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0361,HT0361,Limbé,Lenbe,Nord,36.283,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0313,HT0313,Limonade,Limonad,Nord,21.818,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0121,HT0121,Léogâne,Leyogàn,Ouest,0.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0715,HT0715,Maniche,Manich,Sud,100.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0612,HT0612,Maïssade,Mayisad,Centre,48.077,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0323,HT0323,Milot,Milo,Nord,19.853,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0621,HT0621,Mirebalais,Mibalè,Centre,23.645,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0443,HT0443,Mombin Crochu,Monben Krochi,Nord-Est,22.222,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0423,HT0423,Mont-Organisé,Montòganize,Nord-Est,37.037,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0421,HT0421,Ouanaminthe,Wanament,Nord-Est,35.5,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0413,HT0413,Perches,Pèch,Nord-Est,40.0,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0344,HT0344,Pignon,Piyon,Nord,39.512,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0372,HT0372,Pilate,Pilat,Nord,65.185,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0322,HT0322,Plaine du Nord,Plèn dinò,Nord,16.071,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-003,HTC-0371,HT0371,Plaisance,Plezans,Nord,60.073,%,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
