indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-EAU-004,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,46.2,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,57.8,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0332,HT0332,Bahon,Baron,Nord,50.0,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,63.2,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0632,HT0632,Belladère,Beladè,Centre,84.2,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0351,HT0351,Borgne,Bòn,Nord,75.0,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,73.0,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,24.3,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,47.0,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0442,HT0442,Carice,karis,Nord-Est,73.7,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,67.5,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,66.3,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,18.2,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,40.4,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0342,HT0342,Dondon,Dondon,Nord,52.2,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0331,HT0331,Grande Rivière Du Nord,Grann Rivyè dinò,Nord,55.6,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0611,HT0611,Hinche,Ench,Centre,56.1,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0345,HT0345,La Victoire,La viktwa,Nord,9.1,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0631,HT0631,Lascahobas,Laskawobas,Centre,79.4,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0361,HT0361,Limbé,Lenbe,Nord,82.0,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0313,HT0313,Limonade,Limonad,Nord,35.8,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0612,HT0612,Maïssade,Mayisad,Centre,52.3,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
IND-EAU-004,HTC-0323,HT0323,Milot,Milo,Nord,37.6,%,2016,A,B,"Water Point Data Exchange (WPdx) — tests de coliformes fécaux, part Atmart",v1.2026.08
