indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ACC-006,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,4.6,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,0.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,28.4,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,14.1,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,42.3,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,62.3,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0731,HT0731,Aquin,Aken,Sud,85.7,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,88.9,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0723,HT0723,Arniquet,Anikè,Sud,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,96.9,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0221,HT0221,Bainet,Benè,Sud-Est,33.4,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-1031,HT1031,Baradères,Baradè,Nippes,32.7,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0632,HT0632,Belladère,Beladè,Centre,94.4,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,25.2,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,0.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,15.4,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0351,HT0351,Borgne,Bòn,Nord,44.8,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,54.2,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,89.5,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0113,HT0113,Carrefour,Kafou,Ouest,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,28.3,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,37.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0914,HT0914,Chamsolme,Chansòlm,Nord-Ouest,95.6,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0751,HT0751,Chardonnières,Chadonyè,Sud,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,97.2,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0134,HT0134,Cornillon / Grand Bois,Kòniyon / Gran Bwa,Ouest,6.7,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,83.6,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0741,HT0741,Côteaux,Okoto,Sud,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0222,HT0222,Côtes de Fer,Kòtdefè,Sud-Est,67.1,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0822,HT0822,Dame Marie,Dam Mari,Grande'Anse,46.5,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0112,HT0112,Delmas,Dèlma,Ouest,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0342,HT0342,Dondon,Dondon,Nord,59.3,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0512,HT0512,Ennery,Ènri,Artibonite,59.8,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-1013,HT1013,Fonds des Nègres,Fon dènèg,Nippes,100.0,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
IND-ACC-006,HTC-0135,HT0135,Fonds-Verrettes,Fonvèrèt,Ouest,3.1,%,2024,A,B,"HeiGIT et Planet sur le réseau OpenStreetMap (ODbL) — revêtement 2024, calcul Atmart",v1.2026.08
