indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-TOU-007,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,2.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0731,HT0731,Aquin,Aken,Sud,3.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,14.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,12.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,2.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0713,HT0713,Chantal,Chantal,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0751,HT0751,Chardonnières,Chadonyè,Sud,5.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,3.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,9.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0222,HT0222,Côtes de Fer,Kòtdefè,Sud-Est,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0112,HT0112,Delmas,Dèlma,Ouest,6.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-007,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,9.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
