indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-SEC-004,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,400.674,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,36.725,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,144.625,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,289.415,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,51.001,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,27.607,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,182.701,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,121.191,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0731,HT0731,Aquin,Aken,Sud,300.948,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,98.324,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-1024,HT1024,Arnaud,Ano,Nippes,174.241,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0723,HT0723,Arniquet,Anikè,Sud,86.947,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0332,HT0332,Bahon,Baron,Nord,91.506,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,32.601,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0221,HT0221,Bainet,Benè,Sud-Est,144.266,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-1031,HT1031,Baradères,Baradè,Nippes,161.348,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,6.802,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,36.912,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,153.674,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0632,HT0632,Belladère,Beladè,Centre,337.605,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,149.717,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,60.764,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,309.021,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0351,HT0351,Borgne,Bòn,Nord,66.912,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,303.632,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,411.856,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,21.339,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,92.256,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,0.443,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,235.314,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0442,HT0442,Carice,karis,Nord-Est,7.962,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0113,HT0113,Carrefour,Kafou,Ouest,4.96,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,288.31,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,93.911,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,89.696,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,9.46,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,204.988,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
IND-SEC-004,HTC-0914,HT0914,Chamsolme,Chansòlm,Nord-Ouest,11.257,pour 1 000 habitants,2026,A,B,"OIM — Displacement Tracking Matrix, ronde 13, rapportée à la population COD-PS 2024",v1.2026.08
