indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-SAN-011,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,1.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,1.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,1.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-1024,HT1024,Arnaud,Ano,Nippes,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,1.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0221,HT0221,Bainet,Benè,Sud-Est,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-1031,HT1031,Baradères,Baradè,Nippes,1.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
IND-SAN-011,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,2.0,phase (1 à 5),2024,A,B,"IPC — Analyse de la malnutrition aiguë, Haïti, décembre 2023 – mai 2024 (publiée le 8 mars 2024)",v1.2026.08
