indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-EAU-002,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,1.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,247.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,154.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0731,HT0731,Aquin,Aken,Sud,58.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,4.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0332,HT0332,Bahon,Baron,Nord,51.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,57.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0632,HT0632,Belladère,Beladè,Centre,201.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,1.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0351,HT0351,Borgne,Bòn,Nord,57.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,124.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,134.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,206.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,79.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,20.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0442,HT0442,Carice,karis,Nord-Est,43.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,4.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,63.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,193.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,2.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0134,HT0134,Cornillon / Grand Bois,Kòniyon / Gran Bwa,Ouest,1.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,95.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0112,HT0112,Delmas,Dèlma,Ouest,1.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,109.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0342,HT0342,Dondon,Dondon,Nord,93.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0512,HT0512,Ennery,Ènri,Artibonite,2.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0412,HT0412,Ferrier,Ferye,Nord-Est,68.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0411,HT0411,Fort-Liberté,Fòlibète,Nord-Est,94.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0133,HT0133,Ganthier,Gantye,Ouest,7.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
IND-EAU-002,HTC-0511,HT0511,Gonaïves,Gonayiv,Artibonite,2.0,points d'eau,2026,A,B,"Water Point Data Exchange (WPdx) — points relevés, décompte Atmart",v1.2026.08
