indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version,signal_population
IND-POP-004,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,25739,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,38249,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,28986,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,27736,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,41324,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,18201,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,24603,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,22179,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0731,HT0731,Aquin,Aken,Sud,75430,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,88313,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1024,HT1024,Arnaud,Ano,Nippes,13616,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0723,HT0723,Arniquet,Anikè,Sud,20737,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0332,HT0332,Bahon,Baron,Nord,14915,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,16608,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0221,HT0221,Bainet,Benè,Sud-Est,63949,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1031,HT1031,Baradères,Baradè,Nippes,26377,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
