indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ENV-003,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,1547.8,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,1623.3,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,599.1,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,1443.4,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,863.1,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,1426.5,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,800.9,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,1203.0,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0731,HT0731,Aquin,Aken,Sud,1005.2,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,1076.0,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-1024,HT1024,Arnaud,Ano,Nippes,1478.3,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0723,HT0723,Arniquet,Anikè,Sud,1225.7,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0332,HT0332,Bahon,Baron,Nord,1193.8,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,581.2,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0221,HT0221,Bainet,Benè,Sud-Est,1138.3,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-1031,HT1031,Baradères,Baradè,Nippes,2119.5,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,1852.6,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,863.0,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,2148.7,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0632,HT0632,Belladère,Beladè,Centre,1460.0,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,939.4,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
IND-ENV-003,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,514.4,mm par an,2020,A,B,CHIRPS 2.0 — Climate Hazards Center,v1.2026.08
