indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-TOU-002,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,2.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0731,HT0731,Aquin,Aken,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0723,HT0723,Arniquet,Anikè,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,2.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,6.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0113,HT0113,Carrefour,Kafou,Ouest,6.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,2.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0751,HT0751,Chardonnières,Chadonyè,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,5.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0741,HT0741,Côteaux,Okoto,Sud,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0222,HT0222,Côtes de Fer,Kòtdefè,Sud-Est,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0112,HT0112,Delmas,Dèlma,Ouest,3.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-0342,HT0342,Dondon,Dondon,Nord,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
IND-TOU-002,HTC-1013,HT1013,Fonds des Nègres,Fon dènèg,Nippes,1.0,objets,2026,A,B,OpenStreetMap via HOT — © contributeurs OSM (ODbL),v1.2026.08
