indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-GEO-001,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,102.55,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,187.62,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,431.19,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,96.94,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,375.82,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,70.35,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,182.22,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,106.72,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0731,HT0731,Aquin,Aken,Sud,637.11,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,410.05,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-1024,HT1024,Arnaud,Ano,Nippes,74.07,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0723,HT0723,Arniquet,Anikè,Sud,50.01,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0332,HT0332,Bahon,Baron,Nord,79.22,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,204.3,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0221,HT0221,Bainet,Benè,Sud-Est,299.89,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-1031,HT1031,Baradères,Baradè,Nippes,186.24,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,52.34,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,213.85,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,167.64,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0632,HT0632,Belladère,Beladè,Centre,300.5,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,383.11,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,186.65,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,34.53,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0351,HT0351,Borgne,Bòn,Nord,182.16,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,354.92,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,204.26,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,126.89,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,54.11,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,61.09,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,74.8,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0442,HT0442,Carice,karis,Nord-Est,56.22,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0113,HT0113,Carrefour,Kafou,Ouest,164.42,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,228.59,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,80.01,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
IND-GEO-001,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,156.08,km²,2018,A,A,CNIGS via OCHA COD-AB,v1.2026.07
