indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-ELE-005,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,9053.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,7857.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,7420.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,10708.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,6077.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,14661.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-1024,HT1024,Arnaud,Ano,Nippes,5058.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0332,HT0332,Bahon,Baron,Nord,3482.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0221,HT0221,Bainet,Benè,Sud-Est,13102.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-1031,HT1031,Baradères,Baradè,Nippes,7170.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0632,HT0632,Belladère,Beladè,Centre,14109.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0351,HT0351,Borgne,Bòn,Nord,6637.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,9243.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
IND-ELE-005,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,12842.0,votes,2015,A,B,"CEP — résultats définitifs des municipales du 25 octobre 2015 (dossier public du CEP, saisie Atmart)",v1.2026.08
